Word	length	preweight	ratio	value
tuberculosis	12	554	46.166666666666664	1
syphilis	8	328	41.0	1
cat	3	213	71.0	0
diabetes	8	332	41.5	1
arthritis	9	441	49.0	1
polychondritis	14	555	39.642857142857146	1
dog	3	214	71.33333333333333	0
garden	6	311	51.833333333333336	0
holiday	7	318	45.42857142857143	0
cancer	6	314	52.333333333333336	1
trypanosomiasis	15	646	43.06666666666667	1
anaplasmosis	12	555	46.25	1
rain	4	215	53.75	0
water	5	215	43.0	0
laptop	6	339	56.5	0
meningitis	10	441	44.1	1
bronchitis	10	441	44.1	1
fever	5	215	43.0	1
hepatitis	9	441	49.0	1
car	3	211	70.33333333333333	0
cycle	5	209	41.8	0
man	3	207	69.0	0
pox	3	231	77.0	1
fox	3	231	77.0	0
lion	4	221	55.25	0
syndrome	8	321	40.125	1
dengue	6	321	53.5	1
clonorchis	10	423	42.3	1
pneumonia	9	423	47.0	1
sporiasis	9	432	48.0	1
tiger	5	215	43.0	0
utensils	8	328	41.0	0
sun	3	227	75.66666666666667	0
moon	4	221	55.25	0
elephantiasis	13	537	41.30769230769231	1
candidiasis	11	432	39.27272727272727	1
scabies	7	321	45.857142857142854	1
typhus	6	336	56.0	1
sepsis	6	335	55.833333333333336	1
gonorrhea	9	416	46.22222222222222	1
shigella	8	313	39.125	1
sinus	5	232	46.4	1
sore	4	215	53.75	1
naegleria	9	417	46.333333333333336	1
norovirus	9	451	50.111111111111114	1
norcardiosis	12	551	45.916666666666664	1
influenza	9	430	47.77777777777778	1
impetigo	8	319	39.875	1
clouds	6	332	55.333333333333336	0
hello	5	219	43.8	0
